Year,Semester,Region,Country,Disease,Animal category,Species,Vaccine type,Number of vaccinated
2005,Jul-Dec 2005,Asia,Iraq,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,2734100
2005,Jul-Dec 2005,Asia,Iraq,Avian infectious bronchitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Ireland,Avian infectious bronchitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Ireland,Duck virus hepatitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Ireland,Fowl cholera (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Ireland,Fowl pox (-2005),Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Ireland,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Ireland,Marek's disease (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Israel,Avian infectious bronchitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Israel,Fowl cholera (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Israel,Fowl pox (-2005),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Israel,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Israel,Marek's disease (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Israel,Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Italy,Fowl pox (-2005),Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Italy,Fowl typhoid,Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Italy,Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Jamaica,Avian infectious bronchitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Jamaica,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Jamaica,Marek's disease (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Jamaica,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Jamaica,Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Japan,Avian infectious bronchitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Japan,Avian infectious laryngotracheitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Japan,Fowl pox (-2005),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Japan,Fowl typhoid,Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Japan,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Japan,Marek's disease (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Japan,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Japan,Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Japan,Pullorum disease,Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Jordan,Fowl typhoid,Domestic,Birds,-,1000000
2005,Jul-Dec 2005,Asia,Jordan,Pullorum disease,Domestic,Birds,-,2000000
2005,Jul-Dec 2005,Asia,Jordan,Avian infectious bronchitis,Domestic,Birds,-,4000000
2005,Jul-Dec 2005,Asia,Jordan,Fowl pox (-2005),Domestic,Birds,-,4000000
2005,Jul-Dec 2005,Asia,Jordan,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,6000000
2005,Jul-Dec 2005,Asia,Jordan,Avian infectious laryngotracheitis,Domestic,Birds,-,7000000
2005,Jul-Dec 2005,Asia,Jordan,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),Domestic,Birds,-,7000000
2005,Jul-Dec 2005,Asia,Jordan,Marek's disease (-2011),Domestic,Birds,-,8000000
2005,Jul-Dec 2005,Asia,Jordan,Newcastle disease virus (Inf. with),Domestic,Birds,-,370000000
2005,Jul-Dec 2005,Asia,Kazakhstan,Avian tuberculosis (-2005),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Kazakhstan,Fowl pox (-2005),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Kazakhstan,Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Kenya,Fowl typhoid,Domestic,Birds,-,4900
2005,Jul-Dec 2005,Africa,Kenya,Fowl pox (-2005),Domestic,Birds,-,19000
2005,Jul-Dec 2005,Africa,Kenya,Newcastle disease virus (Inf. with),Domestic,Birds,-,159000
